Order,Season,Episode,Character Killed,Killer,Method,Method Category,Reason,Location,Importance,Allegiance death,Allegiance killer
26,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,1.0,House Lannister,
27,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,1.0,House Lannister,
28,1,5,Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,3.0,House Stark,
29,1,6,Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,2.0,Free Folk,
30,1,6,Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,1.0,Free Folk,
31,1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,2.0,Free Folk,
32,1,6,Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,2.0,House Egen,House Arryn
33,1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,4.0,House Targaryen,
34,1,7,Robert Baratheon,Boar,Tusk,Animal,Hunted the boar while drunk,King’s Landing,4.0,House Baratheon of King’s Landing,
35,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
36,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
37,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
38,1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
39,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
40,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
41,1,8,Vayon Poole,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,2.0,House Stark,
42,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
43,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,1.0,House Stark,
44,1,8,Septa Mordane,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,3.0,House Stark,
45,1,8,Syrio Forel,Meryn Trant,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,3.0,House Stark,
46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,1.0,Smallfolk,
47,1,8,Othor,Jon Snow,Fire,Fire/Burning,Attacked Jeor Mormont,Castle Black,1.0,,
48,1,8,Jafer Flowers,Night’s Watch brother,Fire,Fire/Burning,Attacked members of the Night’s Watch,Castle Black,1.0,,
49,1,8,Mago,Khal Drogo,Hands,Hands,Challenged Khal Drogo when Daenerys took his spoils of war,Lhazar,2.0,Dothraki,
50,1,9,Raven,Theon Greyjoy,Arrow,Arrow,Killed to prevent a message from leaving The Twins,The Twins,1.0,,
51,1,9,Drogo’s horse,Mirri Maz Duur,Knife,Blade,Sacrificed for magic ceremony,Red Waste,1.0,Dothraki,
52,1,9,Qotho,Jorah Mormont,Sword,Blade,Tried to stop Mirri Maz Duur’s magic ritual from being performed on Khal Drogo,Red Waste,2.0,Dothraki,
53,1,9,Stark soldier,Hill tribesman,Hammer,Bludgeon,Battle between Lannister and Stark forces,Unknown,1.0,House Stark,
54,1,9,Stark soldier,Hill tribesman,Sword,Blade,Battle between Lannister and Stark forces,Unknown,1.0,House Stark,
55,1,9,Pigeon,Arya Stark,Hands,Hands,Killed for food,King’s Landing,1.0,,
56,1,9,Ned Stark,Ilyn Payne,Sword (Ice),Blade,Executed on Joffrey Baratheon’s orders after Ned claimed Joffrey wasn’t the true heir to the throne,King’s Landing,4.0,House Stark,
57,1,10,Rhaego,Mirri Maz Duur,Magic,Magic,Killed in a blood magic ritual as revenge,Red Waste,2.0,Dothraki,
58,1,10,Khal Drogo,Daenerys Targaryen,Pillow,Household item,Killed after being put into a vegetative state by Mirri Maz Duur,Red Waste,4.0,Dothraki,
59,1,10,Mirri Maz Duur,Daenerys Targaryen,Fire,Fire/Burning,Revenge for her having killed Khal Drogo and Rhaego,Red Waste,3.0,,
60,2,1,Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,1.0,,
61,2,1,The Silver,,Starvation,Other,No food or water in the Red Waste,Red Waste,2.0,Dothraki,House Targaryen
62,2,1,Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Tried to kill Melisandre,Dragonstone,2.0,House Baratheon of Dragonstone,
63,2,1,Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,2.0,Smallfolk,
64,2,1,Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,1.0,Smallfolk,
65,2,1,Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,1.0,Smallfolk,
66,2,1,Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,1.0,Smallfolk,
67,2,2,Rakharo,Unknown (possible rival Dothraki men),Unknown,Unknown,Unknown (possibly as a challenge to Daenerys Targaryen’s khalasar),Red Waste,3.0,Dothraki,House Targaryen
68,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,1.0,House Lannister,
69,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,1.0,House Lannister,
70,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,1.0,House Lannister,
71,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,1.0,House Lannister,
72,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,1.0,House Lannister,
73,2,3,Yoren,Amory Lorch,Sword,Blade,Refused to hand over Gendry,Riverlands,3.0,Night’s Watch,
74,2,3,Night’s Watch recruit,Lannister soldier,Spear,Polearm,Attacked after seeing Yoren killed,Riverlands,1.0,Night’s Watch,
75,2,3,Lommy Greenhands,Polliver,Sword (Needle),Blade,Killed after asking to be carried,Riverlands,2.0,Smallfolk,
76,2,4,Rennick,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,2.0,House Lannister,
77,2,4,Lannister soldier,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,1.0,House Lannister,
78,2,4,Prisoner,The Tickler,Rat,Animal,Tortured for information about the Brotherhood without Banners,Harrenhal,1.0,,
79,2,5,Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Killed so that Stannis Baratheon would have fewer enemies,Storm’s End,4.0,House Baratheon of Storm’s End,
80,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,1.0,House Baratheon of Storm’s End,
81,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,1.0,House Baratheon of Storm’s End,
82,2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,2.0,House Clegane,
83,2,6,Rodrik Cassel,Theon Greyjoy,Sword,Blade,Refused to stand down when Theon took over Winterfell,Winterfell,3.0,House Cassel,House Stark
84,2,6,Wildling,Night’s Watch brother,Arrow,Arrow,Killed for being a wildling lookout,Beyond the Wall,1.0,Free Folk,
85,2,6,Wildling,Qhorin Halfhand,Sword,Blade,Killed for being a wildling lookout,Beyond the Wall,1.0,Free Folk,
86,2,6,High Septon,Peasants,Hands,Hands,Literally torn apart in a city riot,King’s Landing,1.0,Faith of the Seven,
87,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,1.0,Smallfolk,
88,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,1.0,Smallfolk,
89,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,1.0,Smallfolk,
90,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,1.0,Smallfolk,
91,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,1.0,Smallfolk,
92,2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,2.0,House Lannister,
93,2,6,Drennan,Osha,Knife,Blade,"Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor",Winterfell,2.0,House Greyjoy,
94,2,6,Irri,Unknown,Unknown,Unknown,Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,Qarth,3.0,Dothraki,House Targaryen
95,2,7,Alton Lannister,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,2.0,House Lannister,
96,2,7,Torrhen Karstark,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,2.0,House Karstark,House Stark
97,2,7,The Spice King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,3.0,The Thirteen,
98,2,7,The Silk King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
99,2,7,The Copper King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
100,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
101,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
102,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
103,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
104,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
105,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
106,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
107,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,1.0,The Thirteen,
108,2,7,Billy,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,2.0,Smallfolk,
109,2,7,Jack,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,2.0,Smallfolk,
110,2,9,Matthos Seaworth,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,3.0,House Seaworth,House Baratheon of Dragonstone
111,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
112,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
113,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
114,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
115,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
116,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
117,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
118,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
119,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
120,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
121,2,9,Baratheon of Dragonstone soldier,Accident,Blunt object,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
122,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
123,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
124,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
125,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
126,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
127,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
128,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
129,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
130,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
131,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
132,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
133,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
134,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
135,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
136,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
137,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
138,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
139,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
140,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
141,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
142,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
143,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
144,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
145,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
146,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
147,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
148,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
149,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
150,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
151,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
152,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
153,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
154,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
155,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Hands,Hands,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
156,2,9,Baratheon of Dragonstone soldier,Bronn,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
157,2,9,Baratheon of Dragonstone soldier,Bronn,Knife,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
158,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Fire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
159,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
160,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
161,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
162,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
163,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
164,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
165,2,9,Baratheon of Dragonstone soldier,Tyrion Lannister,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
166,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
167,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
168,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
169,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
170,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Bludgeon,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
171,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
172,2,9,Mandon Moore,Podrick Payne,Spear,Polearm,Attempted to kill Tyrion Lannister during the Battle of Blackwater,King’s Landing,2.0,House Moore,Kingsguard
173,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of King’s Landing,
174,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,1.0,House Baratheon of Dragonstone,
