order,Season,Episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance,No. overall,Title,Directed by,Written by,Novel(s) adapted,Original air date,U.S. viewers(millions),Imdb rating
11,1,4,Ser Hugh of the Vale,Gregor “the Mountain” Clegane,Spear,Polearm,Killed during a tournament,King’s Landing,House Arryn,2.0,4,"""Cripples, Bastards, and Broken Things""",Brian Kirk,Bryan Cogman,A Game of Thrones,8-May-11,2.45,8.8
12,1,5,Clegane’s horse,Gregor “the Mountain” Clegane,Sword,Blade,Gregor was angry at being unhorsed in the tournament by Loras Tyrell,King’s Landing,House Clegane,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
13,1,5,Stark soldier,Tribesman,Bolo,Other,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
14,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
15,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
16,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
17,1,5,Stark soldier,Tribesman,Mace,Mace,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
18,1,5,Tribesman,Tyrion Lannister,Shield,Other,Attacked Catelyn Stark,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
19,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
20,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
21,1,5,Tribesman,Bronn,Knife,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
22,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
23,1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
24,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
25,1,5,Lannister soldier,Ned Stark,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
26,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
27,1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
28,1,5,Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,House Stark,3.0,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,A Game of Thrones,15-May-11,2.58,9.1
29,1,6,Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,2.0,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,22-May-11,2.44,9.2
30,1,6,Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,1.0,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,22-May-11,2.44,9.2
31,1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,Free Folk,2.0,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,22-May-11,2.44,9.2
32,1,6,Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,"House Egen, House Arryn",2.0,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,22-May-11,2.44,9.2
33,1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,House Targaryen,4.0,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,22-May-11,2.44,9.2
34,1,7,Robert Baratheon,Boar,Tusk,Animal,Hunted the boar while drunk,King’s Landing,House Baratheon of King’s Landing,4.0,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,,2.4,9.2
35,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,,2.4,9.2
36,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,,2.4,9.2
37,1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,,2.4,9.2
38,1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,A Game of Thrones,,2.4,9.2
39,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
40,1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
41,1,8,Vayon Poole,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,2.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
42,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
43,1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
44,1,8,Septa Mordane,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
45,1,8,Syrio Forel,Meryn Trant,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,Smallfolk,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
47,1,8,Othor,Jon Snow,Fire,Fire/Burning,Attacked Jeor Mormont,Castle Black,,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
48,1,8,Jafer Flowers,Night’s Watch brother,Fire,Fire/Burning,Attacked members of the Night’s Watch,Castle Black,,1.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
49,1,8,Mago,Khal Drogo,Hands,Hands,Challenged Khal Drogo when Daenerys took his spoils of war,Lhazar,Dothraki,2.0,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,A Game of Thrones,5-Jun-12,2.72,9.0
50,1,9,Raven,Theon Greyjoy,Arrow,Arrow,Killed to prevent a message from leaving The Twins,The Twins,,1.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
51,1,9,Drogo’s horse,Mirri Maz Duur,Knife,Blade,Sacrificed for magic ceremony,Red Waste,Dothraki,1.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
52,1,9,Qotho,Jorah Mormont,Sword,Blade,Tried to stop Mirri Maz Duur’s magic ritual from being performed on Khal Drogo,Red Waste,Dothraki,2.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
53,1,9,Stark soldier,Hill tribesman,Hammer,Bludgeon,Battle between Lannister and Stark forces,Unknown,House Stark,1.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
54,1,9,Stark soldier,Hill tribesman,Sword,Blade,Battle between Lannister and Stark forces,Unknown,House Stark,1.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
55,1,9,Pigeon,Arya Stark,Hands,Hands,Killed for food,King’s Landing,,1.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
56,1,9,Ned Stark,Ilyn Payne,Sword (Ice),Blade,Executed on Joffrey Baratheon’s orders after Ned claimed Joffrey wasn’t the true heir to the throne,King’s Landing,House Stark,4.0,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,12-Jun-12,2.66,9.6
57,1,10,Rhaego,Mirri Maz Duur,Magic,Magic,Killed in a blood magic ritual as revenge,Red Waste,Dothraki,2.0,10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,19-Jun-12,3.04,9.5
58,1,10,Khal Drogo,Daenerys Targaryen,Pillow,Household item,Killed after being put into a vegetative state by Mirri Maz Duur,Red Waste,Dothraki,4.0,10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,19-Jun-12,3.04,9.5
59,1,10,Mirri Maz Duur,Daenerys Targaryen,Fire,Fire/Burning,Revenge for her having killed Khal Drogo and Rhaego,Red Waste,,3.0,10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,A Game of Thrones,19-Jun-12,3.04,9.5
60,2,1,Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,,1.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
61,2,1,The Silver,,Starvation,Other,No food or water in the Red Waste,Red Waste,"Dothraki, House Targaryen",2.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
62,2,1,Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Tried to kill Melisandre,Dragonstone,House Baratheon of Dragonstone,2.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
63,2,1,Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,2.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
64,2,1,Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
65,2,1,Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
66,2,1,Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1.0,11,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,1-Apr-12,3.86,8.8
67,2,2,Rakharo,Unknown (possible rival Dothraki men),Unknown,Unknown,Unknown (possibly as a challenge to Daenerys Targaryen’s khalasar),Red Waste,"Dothraki, House Targaryen",3.0,12,"""The Night Lands""",Alan Taylor,David Benioff & D. B. Weiss,A Clash of Kings,,3.76,8.5
68,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
69,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
70,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
71,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
72,2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
73,2,3,Yoren,Amory Lorch,Sword,Blade,Refused to hand over Gendry,Riverlands,Night’s Watch,3.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
74,2,3,Night’s Watch recruit,Lannister soldier,Spear,Polearm,Attacked after seeing Yoren killed,Riverlands,Night’s Watch,1.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
75,2,3,Lommy Greenhands,Polliver,Sword (Needle),Blade,Killed after asking to be carried,Riverlands,Smallfolk,2.0,13,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,A Clash of Kings,,3.77,8.8
76,2,4,Rennick,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,2.0,14,"""Garden of Bones""",David Petrarca,Vanessa Taylor,A Clash of Kings,22-Apr-12,3.65,8.8
77,2,4,Lannister soldier,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,1.0,14,"""Garden of Bones""",David Petrarca,Vanessa Taylor,A Clash of Kings,22-Apr-12,3.65,8.8
78,2,4,Prisoner,The Tickler,Rat,Animal,Tortured for information about the Brotherhood without Banners,Harrenhal,,1.0,14,"""Garden of Bones""",David Petrarca,Vanessa Taylor,A Clash of Kings,22-Apr-12,3.65,8.8
79,2,5,Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Killed so that Stannis Baratheon would have fewer enemies,Storm’s End,House Baratheon of Storm’s End,4.0,15,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,A Clash of Kings,29-Apr-12,3.9,8.8
80,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1.0,15,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,A Clash of Kings,29-Apr-12,3.9,8.8
81,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1.0,15,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,A Clash of Kings,29-Apr-12,3.9,8.8
82,2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,House Clegane,2.0,15,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,A Clash of Kings,29-Apr-12,3.9,8.8
83,2,6,Rodrik Cassel,Theon Greyjoy,Sword,Blade,Refused to stand down when Theon took over Winterfell,Winterfell,"House Cassel, House Stark",3.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
84,2,6,Wildling,Night’s Watch brother,Arrow,Arrow,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
85,2,6,Wildling,Qhorin Halfhand,Sword,Blade,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
86,2,6,High Septon,Peasants,Hands,Hands,Literally torn apart in a city riot,King’s Landing,Faith of the Seven,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
87,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
88,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
89,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
90,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
91,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
92,2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,House Lannister,2.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
93,2,6,Drennan,Osha,Knife,Blade,"Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor",Winterfell,House Greyjoy,2.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
94,2,6,Irri,Unknown,Unknown,Unknown,Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,Qarth,"Dothraki, House Targaryen",3.0,16,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,A Clash of Kings,6-May-12,3.88,9.1
95,2,7,Alton Lannister,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,House Lannister,2.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
96,2,7,Torrhen Karstark,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,"House Karstark, House Stark",2.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
97,2,7,The Spice King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,3.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
98,2,7,The Silk King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
99,2,7,The Copper King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
100,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
101,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
102,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
103,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
104,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
105,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1.0,17,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,A Clash of Kings,,3.69,8.9
